iter	Accuracy	Logloss
79	0.699903976	0.576698445
80	0.7000848908	0.5764963596
81	0.7002101396	0.5763037442
82	0.7003214718	0.5760696801
83	0.7005998024	0.5759241497
84	0.7008363834	0.5757657182
85	0.7009337991	0.5756065398
86	0.7011286305	0.575330873
87	0.7011147139	0.5751274279
88	0.7014626272	0.5749181377
89	0.7015878759	0.574821959
90	0.7015878759	0.5746082494
91	0.7016713751	0.5744131027
92	0.7017409577	0.5742726821
93	0.7015739594	0.5740453983
94	0.7022697858	0.5738546244
95	0.7021862867	0.5737370973
96	0.7022141197	0.5735683018
97	0.7020749544	0.5734408944
98	0.7023672015	0.5732460859
99	0.7026872817	0.573078859
100	0.7027568643	0.5729457365
101	0.7029377792	0.5728184334
102	0.7029656123	0.5726714917
103	0.7026316156	0.5725320272
104	0.7028681966	0.5723851082
105	0.7029795288	0.572271439
106	0.7031326106	0.572197982
107	0.7031882767	0.5720334083
108	0.7033552751	0.5718889494
109	0.703327442	0.5717636767
110	0.703564023	0.5716572316
111	0.7035361899	0.5715137369
112	0.7036614387	0.5714037926
113	0.7037449379	0.5713217657
114	0.7038562701	0.5712140517
115	0.7038562701	0.5710946281
116	0.7040232684	0.570967244
117	0.7041763503	0.5708314974
118	0.7041346007	0.5707327266
119	0.7041485172	0.5706268784
120	0.7041902668	0.5704878016
121	0.7044964304	0.5703277283
122	0.7043990147	0.5702092397
123	0.7046077626	0.57008088
124	0.7045242635	0.5699685454
125	0.7047330114	0.569900465
126	0.7046634288	0.5697841854
127	0.7046355957	0.5697306207
128	0.7048582602	0.5696528399
129	0.7049417593	0.569542947
130	0.7049000097	0.5695173679
131	0.7049695924	0.5694283604
132	0.7049556759	0.5693436878
133	0.7054010048	0.5692419205
134	0.7052200899	0.5691384455
135	0.7051922568	0.5690423142
136	0.7051783403	0.5689481669
137	0.7054149213	0.5688958167
138	0.7053175056	0.56881369
139	0.7054705874	0.5687022876
140	0.7055819196	0.5686279192
141	0.7055262535	0.5685495649
142	0.7055680031	0.5684515333
143	0.7057628345	0.5683598579
144	0.7058880833	0.5682302348
145	0.7059298329	0.5681483061
146	0.706013332	0.5680571918
147	0.706249913	0.5679562081
148	0.7061803304	0.5678641524
149	0.7062081634	0.5678014888
150	0.70622208	0.5677160163
151	0.70622208	0.5676279495
152	0.7063473287	0.5675095952
153	0.7063334122	0.5674409056
154	0.7063334122	0.5673882896
155	0.7062638296	0.5673247505
156	0.7063612453	0.5672694746
157	0.7066256593	0.5671690696
158	0.7065978262	0.567112557
159	0.7066813254	0.5670422994
160	0.7067926576	0.5669478529
161	0.7067648246	0.566900493
162	0.7069179064	0.5668177241
163	0.7068065742	0.5667402059
164	0.7069318229	0.5667009873
165	0.7069039899	0.5666342088
166	0.7070153221	0.5665621571
167	0.7072101535	0.5664336034
168	0.7070431552	0.5663606595
169	0.7073075692	0.5662734591
170	0.7073910684	0.5662441694
171	0.7073493188	0.5661693741
172	0.7073910684	0.566092631
173	0.7072519031	0.5660222343
174	0.7074049849	0.5659634152
175	0.707432818	0.5658939414
176	0.707460651	0.565816678
177	0.7074189014	0.5657973292
178	0.7075302337	0.5657292073
179	0.7074049849	0.5657035666
180	0.707432818	0.5656234668
181	0.7073632353	0.5655551358
182	0.7074884841	0.5654569483
183	0.7075024006	0.5654080239
184	0.7075163171	0.5653355403
185	0.7074745675	0.5652782899
186	0.7075441502	0.5652087564
187	0.7076415659	0.5651815979
188	0.7076276494	0.5651299349
189	0.7076554824	0.565096421
190	0.7078781469	0.5650224505
191	0.7078920634	0.5649751145
192	0.7080590617	0.564930726
193	0.708198227	0.5648511921
194	0.7081843105	0.5648194039
195	0.7082399766	0.5647614115
196	0.7083930584	0.5646878995
197	0.7083095593	0.5646816713
198	0.7084626411	0.5646414886
199	0.7085043907	0.5645658148
200	0.7085322237	0.5645288841
201	0.7086992221	0.5644433742
202	0.7085322237	0.5643653758
203	0.708643556	0.5642981697
204	0.7087270551	0.5642353881
205	0.7087409717	0.5642012498
206	0.7086296394	0.564150983
207	0.7087270551	0.5640906967
208	0.7087688047	0.5640361756
209	0.7088801369	0.5639634984
210	0.7088801369	0.5638934356
211	0.7090610518	0.5638531191
212	0.7089775526	0.5637858528
213	0.7090053857	0.5637228696
214	0.7090749683	0.5636706267
215	0.7091306345	0.5636416624
216	0.7090471353	0.5635792005
217	0.7090610518	0.5635260902
218	0.7090610518	0.5634569522
219	0.7090471353	0.563415506
