iter	Passed	Remaining
399	41680	10420
400	41799	10319
401	41913	10217
402	42024	10115
403	42138	10013
404	42254	9911
405	42371	9810
406	42478	9706
407	42570	9599
408	42696	9499
409	42813	9397
410	42931	9296
411	43059	9197
412	43175	9095
413	43295	8993
414	43408	8890
415	43526	8789
416	43647	8687
417	43765	8585
418	43868	8480
419	43988	8378
420	44098	8274
421	44216	8172
422	44326	8068
423	44437	7965
424	44534	7859
425	44630	7752
426	44747	7650
427	44869	7548
428	44980	7444
429	45103	7342
430	45226	7240
431	45347	7138
432	45471	7035
433	45576	6931
434	45693	6827
435	45805	6723
436	45906	6618
437	46021	6514
438	46141	6411
439	46257	6307
440	46384	6205
441	46501	6102
442	46619	5998
443	46739	5895
444	46853	5790
445	46966	5686
446	47087	5583
447	47202	5478
448	47317	5374
449	47428	5269
450	47543	5165
451	47664	5061
452	47795	4958
453	47948	4858
454	48105	4757
455	48266	4657
456	48417	4555
457	48554	4452
458	48683	4348
459	48803	4243
460	48925	4139
461	49049	4034
462	49172	3929
463	49293	3824
464	49423	3720
465	49542	3614
466	49672	3510
467	49818	3406
468	49957	3302
469	50063	3195
470	50179	3089
471	50298	2983
472	50408	2877
473	50522	2771
474	50636	2665
475	50751	2558
476	50860	2452
477	50976	2346
478	51087	2239
479	51199	2133
480	51312	2026
481	51431	1920
482	51539	1814
483	51643	1707
484	51756	1600
485	51879	1494
486	52009	1388
487	52119	1281
488	52225	1174
489	52331	1067
490	52448	961
491	52571	854
492	52684	748
493	52789	641
494	52902	534
495	53018	427
496	53132	320
497	53236	213
498	53344	106
499	53456	0
